ScreenName,Text,text
sailm_now,@MohannaAlhubail  شفي الغليل .. يكون باللحظة إذا طال الزمن  بردت,شفي الغليل يكون باللحظة اذا طال الزمن بردت
AbuMohammed37,RT @aalodah: إذا صح اعتقال عبدالله العقيل.. فإن هذا يعني أن الذي أدار ملف خاشقجي وعملية قتله وملف عقوبات الإعدام وملف المعتقلات والمعتقلين…,اذا صح اعتقال عبدالله العقيل فان هذا يعني ان الذي ادار ملف خاشقجي وعملية قتله وملف عقوبات الاعدام وملف المعتقلات والمعتقلين
mshinqiti,"RT @aalodah: اشتمّ رائحة القميص وطالما...
هطل القميص على العيون وبشّرا..

*م. ع. https://t.co/VmZMDNMauB",اشتم رايحة القميص وطالما هطل القميص على العيون وبشرا م
_Figo272,RT @aalodah: إمام الحرم المعتقل الشيخ صالح آل طالب.. يتحدث عن مثل هذه الإيام العشر المباركة -فرّج الله عنه-. https://t.co/RoNAkci1eZ,امام الحرم المعتقل الشيخ صالح ال طالب يتحدث عن مثل هذه الايام العشر المباركة فرج الله عنه
haj_ibr,@MohannaAlhubail طيب أستاذ مهنا ما سر الزيارة الاخيرة لنتنياهو للاراضي العمانية؟ هل تندرج ضمن التجربة العمانية التي لا تعادي احدا؟ او ان الاستقبال جرى بضغط اقليمي؟ ما رايك؟,طيب استاذ مهنا ما سر الزيارة الاخيرة لنتنياهو للاراضي العمانية هل تندرج ضمن التجربة العمانية التي لا تعادي احدا او ان الاستقبال جرى بضغط اقليمي ما رايك
awx223344,RT @aalodah: للأسف الشديد تأكد لي الآن #اعتقال_الشيخ_ناصر_العمر من مكة المكرمة يوم الثلاثاء الماضي، لينضم إلى مجموعة المشايخ والعلماء والنا…,للاسف الشديد تاكد لي الان من مكة المكرمة يوم الثلاثاء الماضي لينضم الى مجموعة المشايخ والعلماء والنا
fikercenter,التكهن بالانتقال للحوار الفلسطيني مرهوناً بأداء حكومة رامي الحمد في #غزة وما سيترتب على ذلك من توافق مع #حماس حول تسليم الأجهزة الحكومية,التكهن بالانتقال للحوار الفلسطيني مرهونا باداء حكومة رامي الحمد في وما سيترتب على ذلك من توافق مع حول تسليم الاجهزة الحكومية
Boyacoub4,@FSAeqYTxVYhamGo @MohannaAlhubail @oamaz7 تعبير يثير الاشمئزاز والغثيان اضعاف اضعاف 😶,تعبير يثير الاشميزاز والغثيان اضعاف اضعاف
aalodah,@KhaledBinW آمين بارك الله فيك,امين بارك الله فيك
fikercenter,رصد الديبلوماسي الأمريكي كينكانون التصعيد بين شيعة #السعودية والحكومة عام 1979حين احتل #الشيعة الملهمين من الثورة الإيرانية شوارع #القطيف,رصد الديبلوماسي الامريكي كينكانون التصعيد بين شيعة والحكومة عام حين احتل الملهمين من الثورة الايرانية شوارع
